377703,0.06,0.06,1.05,
378205,0.06,0.05,1.05,
378707,0.06,0.05,1.05,
379209,0.06,0.05,1.06,
379711,0.06,0.06,1.05,
380213,0.06,0.06,1.05,
380715,0.06,0.05,1.06,
381217,0.06,0.05,1.05,
381719,0.06,0.05,1.05,
382221,0.06,0.06,1.05,
382723,0.06,0.06,1.06,
383225,0.06,0.05,1.08,
383727,0.06,0.06,1.02,
384229,0.07,0.05,1.05,
384731,0.06,0.06,1.05,
385233,0.04,0.06,1.05,
385735,0.05,0.06,1.06,
386237,0.06,0.06,1.05,
386739,0.06,0.06,1.05,
387241,0.06,0.06,1.05,
387743,0.07,0.06,1.06,
388245,0.06,0.06,1.05,
388747,0.06,0.06,1.06,
389249,0.06,0.06,1.06,
389751,0.06,0.05,1.05,
390253,0.06,0.06,1.05,
390755,0.06,0.05,1.05,
391257,0.06,0.05,1.06,
391759,0.06,0.05,1.05,
392261,0.06,0.05,1.05,
392763,0.06,0.05,1.05,
393265,0.06,0.06,1.05,
393767,0.06,0.06,1.05,
394269,0.06,0.06,1.05,
394771,0.06,0.06,1.05,
395273,0.06,0.05,1.05,
395775,0.06,0.05,1.05,
396277,0.06,0.06,1.05,
396779,0.06,0.06,1.06,
397281,0.06,0.05,1.05,
397783,0.06,0.06,1.06,
398285,0.06,0.06,1.05,
398787,0.06,0.06,1.05,
399289,0.06,0.06,1.06,
399791,0.06,0.06,1.05,
400293,0.07,0.06,1.06,
400795,0.06,0.06,1.05,
401297,0.06,0.06,1.05,
401799,0.06,0.05,1.05,
402301,0.06,0.06,1.05,
402803,0.06,0.06,1.05,
403305,0.06,0.06,1.06,
403807,0.06,0.05,1.05,
404309,0.06,0.06,1.05,
404811,0.06,0.05,1.05,
405313,0.06,0.06,1.05,
405815,0.06,0.06,1.05,
406317,0.06,0.05,1.05,
406819,0.06,0.05,1.05,
407321,0.06,0.06,1.05,
407823,0.06,0.05,1.05,
408325,0.06,0.05,1.05,
408827,0.06,0.05,1.05,
409329,0.06,0.06,1.05,
409831,0.06,0.06,1.05,
410333,0.06,0.05,1.05,
410835,0.06,0.06,1.05,
411337,0.06,0.06,1.06,
411839,0.06,0.05,1.05,
412341,0.06,0.06,1.06,
412843,0.06,0.06,1.05,
413345,0.06,0.06,1.05,
413847,0.06,0.06,1.04,
414349,0.07,0.06,1.05,
414851,0.06,0.05,1.05,
415353,0.06,0.06,1.05,
415855,0.06,0.06,1.05,
416357,0.06,0.06,1.05,
416859,0.06,0.05,1.05,
417361,0.06,0.06,1.05,
417863,0.06,0.06,1.05,
418365,0.06,0.06,1.06,
418867,0.06,0.06,1.05,
419369,0.06,0.06,1.05,
419871,0.06,0.06,1.06,
420373,0.06,0.05,1.03,
420875,0.06,0.06,1.08,
421377,0.06,0.06,1.07,
421879,0.04,0.05,1.07,
422381,0.05,0.05,1.05,
422883,0.05,0.05,1.05,
423385,0.04,0.06,1.05,
423887,0.07,0.06,1.05,
424389,0.06,0.06,1.05,
424891,0.06,0.05,1.05,
425393,0.06,0.06,1.06,
425895,0.06,0.06,1.06,
